name,slug
3M,3m|wd1|Search
Accenture,accenture|wd103|AccentureCareers
Adobe,adobe|wd5|external_experienced
Amgen,amgen|wd1|Careers
Analog Devices,analogdevices|wd1|External
Autodesk,autodesk|wd1|Ext
Aviva,aviva|wd1|External
Booz Allen Hamilton,bah|wd1|BAH_Jobs
Baxter,baxter|wd1|baxter
Becton Dickinson,bdx|wd1|EXTERNAL_CAREER_SITE_USA
Broadcom,broadcom|wd1|External_Career
Cadence Design Systems,cadence|wd1|External_Careers
Caterpillar,cat|wd5|CaterpillarCareers
CDW,cdw|wd5|Careers
Cisco,cisco|wd5|Cisco_Careers
CVS Health,cvshealth|wd1|CVS_Health_Careers
Danaher,danaher|wd1|DanaherJobs
Diageo,diageo|wd3|Diageo_Careers
DXC Technology,dxctechnology|wd1|DXCJobs
eBay (TCGplayer),ebay|wd5|TCGPlayer_External_Career
Expedia Group,expedia|wd108|search
GE Aerospace,geaerospace|wd5|GE_ExternalSite
GE Vernova,gevernova|wd5|Vernova_ExternalSite
Guidehouse,guidehouse|wd1|External
Kraft Heinz,heinz|wd1|KraftHeinz_Careers
Hewlett Packard Enterprise,hpe|wd5|Jobsathpe
HP Inc,hp|wd5|ExternalCareerSite
KBR,kbr|wd5|KBR_Careers
LabCorp,labcorp|wd1|external
Lowe's,lowes|wd5|LWS_External_CS
London Stock Exchange Group,lseg|wd3|Careers
Marvell Technology,marvell|wd1|MarvellCareers
Mastercard,mastercard|wd1|CorporateCareers
Medtronic,medtronic|wd1|MedtronicCareers
Micron Technology,micron|wd1|External
Merck (MSD),msd|wd5|SearchJobs
Northrop Grumman,ngc|wd1|Northrop_Grumman_External_Site
Nordstrom,nordstrom|wd501|nordstrom_careers
NVIDIA,nvidia|wd5|NVIDIAExternalCareerSite
NXP Semiconductors,nxp|wd3|careers
PayPal,paypal|wd1|jobs
Pfizer,pfizer|wd1|PfizerCareers
PNC,pnc|wd5|External
Booking Holdings,priceline|wd1|BookingHoldings
ResMed,resmed|wd3|ResMed_External_Careers
Salesforce,salesforce|wd12|External_Career_Site
Semtech,semtech|wd1|SemtechCareers
Stryker,stryker|wd1|StrykerCareers
Target,target|wd5|targetcareers
Thermo Fisher Scientific,thermofisher|wd5|ThermoFisherCareers
American Express Global Business Travel,travelhrportal|wd1|Jobs
Truist Financial,truist|wd1|Careers
Tyson Foods,tysonfoods|wd5|tsn
Visa,visa|wd5|Visa
Worldpay,worldpay|wd5|Worldpay_External_Careers_Site
Leidos,leidos|wd5|external
General Motors,generalmotors|wd5|careers_gm
ABB,abb|wd3|external_career_page
Workday,workday|wd5|workday
Novartis,novartis|wd3|novartis_careers
Bristol Myers Squibb,bristolmyerssquibb|wd5|bms
T-Mobile,tmobile|wd1|external
Procter & Gamble,pg|wd5|1000
Prudential Financial,prudential|wd3|prudential
Santander,santander|wd3|santandercareers
The Hartford,thehartford|wd5|careers_external
US Bank,usbank|wd1|us_bank_careers
Travelers,travelers|wd5|external
Zendesk,zendesk|wd1|zendesk
Zoom,zoom|wd5|zoom
GEICO,geico|wd1|external
Home Depot,homedepot|wd5|careerdepot
KeyBank,keybank|wd5|external_career_site
Shell,shell|wd3|shellcareers
Equinix,equinix|wd1|external
Humana,humana|wd5|humana_external_career_site
Moderna,modernatx|wd1|m_tx
AT&T,att|wd1|attgeneral
Toyota,toyota|wd503|tmna
Vertex Pharmaceuticals,vrtx|wd501|vertex_careers
S&P Global,spgi|wd5|spgi_careers
Capital One,capitalone|wd12|capital_one
CrowdStrike,crowdstrike|wd5|crowdstrikecareers
Rockwell Automation,rockwellautomation|wd1|external_rockwell_automation
CACI,caci|wd1|external
AstraZeneca,astrazeneca|wd3|careers
Cigna,cigna|wd5|cignacareers
Baker Hughes,bakerhughes|wd5|bakerhughes
PPG Industries,ppg|wd5|ppg_careers
Chevron,chevron|wd5|jobs
Dow,dow|wd1|externalcareers
Warner Bros. Discovery,warnerbros|wd5|global
Gilead Sciences,gilead|wd1|gileadcareers
